method,size,split,seed,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_mode,split_rule,notes
Random,small,test,170000,small_test_0000_seed_170000,301.9819206887308,159.76799621960456,36.600069805982834,0.5023753311498549,37.681490973278336,0.5416666666666666,14.0,0.0013086000108160079,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170000,small_test_0000_seed_170000,253.15992068873072,137.0260823919149,19.74142290821476,0.6070926733891542,36.393310101569284,0.5416666666666666,14.0,0.001120000029914081,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170000,small_test_0000_seed_170000,305.78257634297125,152.77354424553627,37.530262715761076,0.5006939914765348,36.36576588580627,0.5416666666666666,14.0,0.0012779999524354935,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170000,small_test_0000_seed_170000,261.21492068873073,165.27459799023651,41.06558151230641,0.5849926122533439,35.456332841723935,0.5416666666666666,14.0,0.0012700000079348683,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170000,small_test_0000_seed_170000,253.15992068873072,141.6376196008871,24.818872810776487,0.6066089928838108,36.617839213681,0.5416666666666666,14.0,0.0012432000366970897,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170000,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.13754680001875386,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170001,small_test_0001_seed_170001,229.34029422434102,135.941288576073,31.36719322814993,0.5233415157298712,42.21572874569962,0.4166666666666667,12.0,0.0011793000157922506,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170001,small_test_0001_seed_170001,190.2100667024157,114.6309404632491,8.957669654380572,0.6222634026159894,46.6069580627292,0.4166666666666667,12.0,0.0010527000413276255,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170001,small_test_0001_seed_170001,241.215021789456,135.99472709403491,32.05982275289077,0.501825851252885,45.460805684151204,0.4166666666666667,12.0,0.0011790000135079026,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170001,small_test_0001_seed_170001,211.3006339782682,149.03027560524959,45.28234173034972,0.5550440481736039,42.06635744033659,0.4166666666666667,12.0,0.0012006000033579767,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
