method,size,split,num_instances,Cmax_roll_mean,Cmax_roll_std,average_completion_time_mean,average_completion_time_std,average_waiting_time_mean,average_waiting_time_std,machine_utilization_mean,machine_utilization_std,load_balance_std_mean,load_balance_std_std,split_task_ratio_mean,split_task_ratio_std,total_split_count_mean,total_split_count_std,inference_time_mean,inference_time_std,valid_ratio,cmax_check_pass_ratio
FIFO,large,test,50,525.8179217923888,22.855326313620704,271.4409634642113,13.001377719831751,3.287140797057971,1.3664313090401021,0.502275497413776,0.025948842987385177,83.87047960896295,18.103104266562323,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.01225244800443761,0.0010651550546693382,1.0,1.0
FIFO,medium,test,50,334.5430436469138,32.23757323686546,171.41694845283746,11.308001025978689,10.643860347763523,4.798864188320759,0.5949034946159757,0.05345259932627999,57.258269217606085,17.370784528563664,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.0038596639945171775,0.000315830149674846,1.0,1.0
FIFO,small,test,50,220.16069225502534,27.90403009555317,121.65266502584963,10.832666211798662,13.457351363873155,5.707246428697696,0.5742541830599985,0.06504541511995592,46.45026645944461,15.793638899950599,0.52,0.12310790208412925,13.92,3.503369806343601,0.0010103840020019561,0.00015018597377800268,1.0,1.0
GreedyECT,large,test,50,545.1513595019575,26.520355376338372,275.02322457492,12.764167296670344,9.828430270158941,3.0694309659153935,0.48858607590292563,0.021916174697297914,76.80424839471894,19.77193814749749,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.02004320399835706,0.0016455487508799896,1.0,1.0
GreedyECT,medium,test,50,361.55967519280216,32.500044273191705,173.37205450375063,11.754766747760684,19.202484115691526,6.299401959076357,0.550103332810588,0.04214307849763442,56.33332225525853,18.269583648976926,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.007332314000232145,0.0011512868782607268,1.0,1.0
GreedyECT,small,test,50,230.94271064038006,28.9022568900527,120.06980548399277,10.826468508973068,17.973651623737098,6.056660742842667,0.5447575301225481,0.05930351926539264,47.01727947532111,15.929857619178588,0.52,0.12310790208412925,13.92,3.503369806343601,0.0017221940006129444,0.0002627769124606835,1.0,1.0
LPT,large,test,50,637.5951050031064,33.178930225632314,448.65197295693264,28.953511484322775,169.59135206527395,28.160527296561163,0.4268515435362042,0.021325807726787317,66.79716227218319,20.1989370565759,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.020714089998509735,0.0019436662328650405,1.0,1.0
LPT,medium,test,50,403.6160617577778,28.997441362307338,270.5263678898608,14.883057774108266,103.21576246614143,13.5306047089527,0.4958577902179041,0.03592078034084795,55.56803910251707,17.857268351899503,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.005531247996259481,0.0004923659133943547,1.0,1.0
LPT,small,test,50,242.74808067901276,26.39249800686045,154.48150510500648,14.921248715714688,44.688433012270636,12.232011185561955,0.5196057403853989,0.05272007582923605,45.85833887457468,15.47640811655651,0.52,0.12310790208412925,13.92,3.503369806343601,0.001186772002838552,0.00016055061939744956,1.0,1.0
MinCandidateLoad,large,test,50,591.520717976359,41.05306408714974,328.1137645015331,22.737209450666,56.05773159363365,17.9525860051886,0.45349410727869643,0.025703272144285826,73.98335709248249,20.36888274088837,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.016039229995803907,0.0014078767672626197,1.0,1.0
MinCandidateLoad,medium,test,50,373.0003021400198,31.975243459341606,200.13917012775693,15.803883828324542,40.630952754326934,11.668644951168748,0.5321510277661844,0.04146792632969254,59.38371906612697,17.551749977812495,0.6440625,0.06078024581432688,62.98,6.967036672789946,0.0046722100046463315,0.0003762432105949429,1.0,1.0
